Nationality_ID,Nationality,Flag
Nat092,Azerbaijan,https://cdn.sofifa.org/flags/5.png
Nat093,"South Africa",https://cdn.sofifa.org/flags/140.png
Nat094,"Cape Verde",https://cdn.sofifa.org/flags/104.png
Nat095,Hungary,https://cdn.sofifa.org/flags/23.png
Nat096,Montenegro,https://cdn.sofifa.org/flags/15.png
Nat097,"Korea DPR",https://cdn.sofifa.org/flags/166.png
Nat098,Gambia,https://cdn.sofifa.org/flags/116.png
Nat099,Uzbekistan,https://cdn.sofifa.org/flags/191.png
Nat100,Moldova,https://cdn.sofifa.org/flags/33.png
Nat101,Congo,https://cdn.sofifa.org/flags/107.png
Nat102,Kazakhstan,https://cdn.sofifa.org/flags/165.png
Nat103,Comoros,https://cdn.sofifa.org/flags/214.png
Nat104,Montserrat,https://cdn.sofifa.org/flags/84.png
Nat105,Georgia,https://cdn.sofifa.org/flags/20.png
Nat106,Belarus,https://cdn.sofifa.org/flags/6.png
Nat107,Benin,https://cdn.sofifa.org/flags/99.png
Nat108,Niger,https://cdn.sofifa.org/flags/132.png
Nat109,Luxembourg,https://cdn.sofifa.org/flags/31.png
Nat110,Kenya,https://cdn.sofifa.org/flags/120.png
Nat111,Curacao,https://cdn.sofifa.org/flags/85.png
Nat112,Zimbabwe,https://cdn.sofifa.org/flags/148.png
Nat113,Iran,https://cdn.sofifa.org/flags/161.png
Nat114,Zambia,https://cdn.sofifa.org/flags/147.png
Nat115,Iraq,https://cdn.sofifa.org/flags/162.png
Nat116,Guam,https://cdn.sofifa.org/flags/157.png
Nat117,India,https://cdn.sofifa.org/flags/159.png
Nat118,Cuba,https://cdn.sofifa.org/flags/73.png
Nat119,"Trinidad & Tobago",https://cdn.sofifa.org/flags/93.png
Nat120,"St Kitts Nevis",https://cdn.sofifa.org/flags/89.png
Nat121,Andorra,https://cdn.sofifa.org/flags/2.png
Nat122,Philippines,https://cdn.sofifa.org/flags/181.png
Nat123,Suriname,https://cdn.sofifa.org/flags/92.png
Nat124,Thailand,https://cdn.sofifa.org/flags/188.png
Nat125,Bermuda,https://cdn.sofifa.org/flags/68.png
Nat126,"Guinea Bissau",https://cdn.sofifa.org/flags/119.png
Nat127,"Faroe Islands",https://cdn.sofifa.org/flags/16.png
Nat128,Nicaragua,https://cdn.sofifa.org/flags/86.png
Nat129,Fiji,https://cdn.sofifa.org/flags/197.png
Nat130,Mozambique,https://cdn.sofifa.org/flags/130.png
Nat131,"Antigua & Barbuda",https://cdn.sofifa.org/flags/63.png
Nat132,Liechtenstein,https://cdn.sofifa.org/flags/29.png
Nat133,Mauritius,https://cdn.sofifa.org/flags/128.png
Nat134,"New Caledonia",https://cdn.sofifa.org/flags/215.png
Nat135,"Equatorial Guinea",https://cdn.sofifa.org/flags/112.png
Nat136,Guatemala,https://cdn.sofifa.org/flags/78.png
Nat137,"Central African Rep.",https://cdn.sofifa.org/flags/105.png
Nat138,Libya,https://cdn.sofifa.org/flags/123.png
Nat139,Grenada,https://cdn.sofifa.org/flags/77.png
Nat140,Burundi,https://cdn.sofifa.org/flags/102.png
Nat141,"São Tomé & Príncipe",https://cdn.sofifa.org/flags/135.png
Nat142,Syria,https://cdn.sofifa.org/flags/186.png
Nat143,Malta,https://cdn.sofifa.org/flags/32.png
Nat144,Uganda,https://cdn.sofifa.org/flags/146.png
Nat145,"St Lucia",https://cdn.sofifa.org/flags/90.png
Nat146,Lebanon,https://cdn.sofifa.org/flags/171.png
Nat147,Namibia,https://cdn.sofifa.org/flags/131.png
Nat148,Tanzania,https://cdn.sofifa.org/flags/143.png
Nat149,Kuwait,https://cdn.sofifa.org/flags/168.png
Nat150,"Dominican Republic",https://cdn.sofifa.org/flags/207.png
Nat151,Afghanistan,https://cdn.sofifa.org/flags/149.png
Nat152,Mauritania,https://cdn.sofifa.org/flags/127.png
Nat153,Jordan,https://cdn.sofifa.org/flags/164.png
Nat154,Liberia,https://cdn.sofifa.org/flags/122.png
Nat155,Chad,https://cdn.sofifa.org/flags/106.png
Nat156,Belize,https://cdn.sofifa.org/flags/67.png
Nat157,Sudan,https://cdn.sofifa.org/flags/141.png
Nat158,Botswana,https://cdn.sofifa.org/flags/100.png
Nat159,"Hong Kong",https://cdn.sofifa.org/flags/158.png
Nat160,"South Sudan",https://cdn.sofifa.org/flags/218.png
Nat161,Rwanda,https://cdn.sofifa.org/flags/134.png
Nat162,Indonesia,https://cdn.sofifa.org/flags/160.png
Nat163,"United Arab Emirates",https://cdn.sofifa.org/flags/190.png
Nat164,Qatar,https://cdn.sofifa.org/flags/182.png
