Club_ID,Club,Club_Logo
C00075,"Fortuna Düsseldorf",https://cdn.sofifa.org/teams/2/light/110636.png
C00076,"Chicago Fire",https://cdn.sofifa.org/teams/2/light/693.png
C00077,"SC Fortuna Köln",https://cdn.sofifa.org/teams/2/light/110169.png
C00078,"Eintracht Braunschweig",https://cdn.sofifa.org/teams/2/light/110500.png
C00079,"FSV Zwickau",https://cdn.sofifa.org/teams/2/light/110592.png
C00080,Hibernian,https://cdn.sofifa.org/teams/2/light/81.png
C00081,"FC Ingolstadt 04",https://cdn.sofifa.org/teams/2/light/111239.png
C00082,Sivasspor,https://cdn.sofifa.org/teams/2/light/101041.png
C00083,Pescara,https://cdn.sofifa.org/teams/2/light/200.png
C00084,"Atiker Konyaspor",https://cdn.sofifa.org/teams/2/light/101033.png
C00085,Trabzonspor,https://cdn.sofifa.org/teams/2/light/436.png
C00086,"Kasimpa?a SK",https://cdn.sofifa.org/teams/2/light/111339.png
C00087,"Galatasaray SK",https://cdn.sofifa.org/teams/2/light/325.png
C00088,"Akhisar Belediyespor",https://cdn.sofifa.org/teams/2/light/111340.png
C00089,"FC København",https://cdn.sofifa.org/teams/2/light/819.png
C00090,Kayserispor,https://cdn.sofifa.org/teams/2/light/101020.png
C00091,"Çaykur Rizespor",https://cdn.sofifa.org/teams/2/light/101037.png
C00092,Alanyaspor,https://cdn.sofifa.org/teams/2/light/113142.png
C00093,"LASK Linz",https://cdn.sofifa.org/teams/2/light/252.png
C00094,Reading,https://cdn.sofifa.org/teams/2/light/1793.png
C00095,"Aalborg BK",https://cdn.sofifa.org/teams/2/light/820.png
C00096,"FC Midtjylland",https://cdn.sofifa.org/teams/2/light/1516.png
C00097,Frosinone,https://cdn.sofifa.org/teams/2/light/111657.png
C00098,"La Berrichonne de Châteauroux",https://cdn.sofifa.org/teams/2/light/212.png
C00099,"Northampton Town",https://cdn.sofifa.org/teams/2/light/1930.png
C00100,Celtic,https://cdn.sofifa.org/teams/2/light/78.png
C00101,"SpVgg Greuther Fürth",https://cdn.sofifa.org/teams/2/light/165.png
C00102,"NAC Breda",https://cdn.sofifa.org/teams/2/light/1904.png
C00103,SønderjyskE,https://cdn.sofifa.org/teams/2/light/1447.png
C00104,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png
C00105,"Wolfsberger AC",https://cdn.sofifa.org/teams/2/light/111822.png
C00106,"GFC Ajaccio",https://cdn.sofifa.org/teams/2/light/110316.png
C00107,Watford,https://cdn.sofifa.org/teams/2/light/1795.png
C00108,"Manchester City",https://cdn.sofifa.org/teams/2/light/10.png
C00109,"CD Nacional",https://cdn.sofifa.org/teams/2/light/1891.png
C00110,"Bristol City",https://cdn.sofifa.org/teams/2/light/1919.png
C00111,"Neuchâtel Xamax",https://cdn.sofifa.org/teams/2/light/435.png
C00112,"CD O'Higgins",https://cdn.sofifa.org/teams/2/light/112116.png
C00113,"RCD Espanyol",https://cdn.sofifa.org/teams/2/light/452.png
C00114,"Al Ahli",https://cdn.sofifa.org/teams/2/light/112387.png
C00115,"Venezia FC",https://cdn.sofifa.org/teams/2/light/205.png
C00116,"Sporting Lokeren",https://cdn.sofifa.org/teams/2/light/2007.png
C00117,"Santa Clara",https://cdn.sofifa.org/teams/2/light/1438.png
C00118,"Leicester City",https://cdn.sofifa.org/teams/2/light/95.png
C00119,"Gangwon FC",https://cdn.sofifa.org/teams/2/light/112115.png
C00120,"Jeonbuk Hyundai Motors",https://cdn.sofifa.org/teams/2/light/1477.png
C00121,"Ulsan Hyundai FC",https://cdn.sofifa.org/teams/2/light/1473.png
C00122,"SC Heerenveen",https://cdn.sofifa.org/teams/2/light/1913.png
C00123,"LA Galaxy",https://cdn.sofifa.org/teams/2/light/697.png
C00124,"Fleetwood Town",https://cdn.sofifa.org/teams/2/light/112260.png
C00125,Juventus,https://cdn.sofifa.org/teams/2/light/45.png
C00126,"CD Palestino",https://cdn.sofifa.org/teams/2/light/111328.png
C00127,"Columbus Crew SC",https://cdn.sofifa.org/teams/2/light/687.png
C00128,"FC Augsburg",https://cdn.sofifa.org/teams/2/light/100409.png
C00129,"KV Kortrijk",https://cdn.sofifa.org/teams/2/light/100081.png
